,Name,Features,Phone,Suite,Logo_url,Category1,Category2,Status,Deal
0,85C Bakery Cafe,"['specialty-food', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'coffee-tea', 'desserts', 'taiwanese', 'boba-bubble-tea', 'bakeries', '']",(949) 727-0985,915,https://images.ctfassets.net/l16b5usqno44/umb-media-74922/e3d6ed05708a44a07d89fbed068e5c90/store-logo-85cbakerycafe.jpg?w=223&fm=png,dining,restaurants,,False
1,adidas,"['children-s-apparel', 'men-s-apparel', 'shoes-handbags-luggage', 'sporting-goods-active-wear', 'women-s-apparel', 'curbside-pickup', 'in-store-shopping', '']",(949) 753-0305,650,https://images.ctfassets.net/l16b5usqno44/umb-media-74924/dd629257f147701583e5110823eb5b65/store-logo-adidas.png?w=223&fm=png,shopping,stores,,False
2,aerie,"['women-s-apparel', 'curbside-pickup', 'in-store-shopping', '']",(949) 255-9186,721,https://images.ctfassets.net/l16b5usqno44/umb-media-74925/0bd263a0a6dcb31592ea33b7e251757b/store-logo-aerie.png?w=223&fm=png,shopping,stores,,False
3,Afters Ice Cream,"['specialty-food', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'desserts', '']",,918,https://images.ctfassets.net/l16b5usqno44/umb-media-74926/94f56aa34af23ac0a831c0c350b8ad23/store-logo-aftersicecream.jpg?w=223&fm=png,dining,restaurants,,False
4,Alley,"['specialty-food', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'coffee-tea', '']",(949) 932-0634,507,https://images.ctfassets.net/l16b5usqno44/umb-media-75100/491629ae87b8781c5c456c61478fceea/store-logo-thealley.png?w=223&fm=png,dining,restaurants,,False
5,American Eagle,"['men-s-apparel', 'women-s-apparel', 'curbside-pickup', 'in-store-shopping', '']",(949) 255-9186,721,https://images.ctfassets.net/l16b5usqno44/umb-media-74929/69df8ae6f56f391b127c7d265ea08331/store-logo-americaneagle.png?w=223&fm=png,shopping,stores,,False
6,Anthropologie,"['accessories', 'beauty', 'books-cards-gifts', 'home-furnishings-decor', 'jewelry-timepieces', 'shoes-handbags-luggage', 'swimwear', 'women-s-apparel', 'curbside-pickup', 'in-store-shopping', '']",(949) 341-0104,803,https://images.ctfassets.net/l16b5usqno44/umb-media-74932/495495a77d63dfa823dc0ee7c3f59363/store-logo-anthropologie.png?w=223&fm=png,shopping,stores,,False
7,Apple ,"['electronics-home-entertainment', 'by-appointment', 'curbside-pickup', 'in-store-shopping', '']",(949) 255-1500,930,https://images.ctfassets.net/l16b5usqno44/umb-media-74933/43d2d9b6cc61aba2ba6137e9fbc1a1d3/store-logo-apple.png?w=223&fm=png,shopping,stores,,False
8,ATT,"['electronics-home-entertainment', 'in-store-shopping', '']",(949) 396-2393,519,https://images.ctfassets.net/l16b5usqno44/umb-media-74937/6d36103a04605fd75b013917531f8df7/store-logo-att-plain.png?w=223&fm=png,shopping,stores,,False
9,Auntie Anne's Pretzels,"['specialty-food', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'pretzels', 'deals']",(949) 453-0643,737,https://images.ctfassets.net/l16b5usqno44/umb-media-74938/9587f6921bcd061b48f924caf4294b25/store-logo-auntieannes.jpg?w=223&fm=png,dining,restaurants,,True
10,Aveda Belle Isle Salon & Spa,"['beauty', 'by-appointment', 'curbside-pickup', 'in-store-shopping', '']",(949) 450-0300,769,https://images.ctfassets.net/l16b5usqno44/umb-media-74940/12c34af70384d42bebe3f2c6c1f5b933/store-logo-avedabelleisle.png?w=223&fm=png,shopping,stores,,False
11,Bakery Habana,"['specialty-food', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'coffee-tea', 'cuban', 'desserts', '']",(949) 419-0100,708,https://images.ctfassets.net/l16b5usqno44/umb-media-74959/fe2122d68c2809cbeafe7bcf870293cd/store-logo-habana.png?w=223&fm=png,dining,restaurants,,False
12,Barnes & Noble Booksellers,"['books-cards-gifts', 'curbside-pickup', 'in-store-shopping', '']",(949) 585-0233,728,https://images.ctfassets.net/l16b5usqno44/umb-media-74941/8cdfeff77347caf36236e2ca087d490e/store-logo-barnesnoblebooksellers.png?w=223&fm=png,shopping,stores,,False
13,Baseballism,"['accessories', 'children-s-apparel', 'men-s-apparel', 'shoes-handbags-luggage', 'sporting-goods-active-wear', 'women-s-apparel', 'curbside-pickup', 'in-store-shopping', '']",(949) 288-5313,862,https://images.ctfassets.net/l16b5usqno44/umb-media-74942/a89f6bfa790f54f99d24fb86e123b215/store-logo-baseballism.png?w=223&fm=png,shopping,stores,,False
14,Bearfruit Jewelry,"['jewelry-timepieces', '']",(949) 932-0124,742,https://images.ctfassets.net/l16b5usqno44/umb-media-74955/4f800ab92875c0200190f2c669984f8a/store-logo-bearfruitjewelry.jpg?w=223&fm=png,shopping,stores,,False
15,BLKdot Coffee,"['restaurants-casual-quick', 'specialty-food', 'curbside-pickup', 'dine-in', 'outdoor-seating', 'takeout', 'coffee-tea', 'vietnamese', '']",(949) 585-9528,924,https://images.ctfassets.net/l16b5usqno44/umb-media-74944/4e31fc9924ad7a7b774242c64ab55b27/store-logo-blkcoffee.jpg?w=223&fm=png,dining,restaurants,,False
16,Body Shop,"['beauty', 'in-store-shopping', '']",(949) 753-1833,767,https://images.ctfassets.net/l16b5usqno44/umb-media-75101/38d44db159b7b74079f1b92a6604df95/store-logo-thebodyshop.png?w=223&fm=png,shopping,stores,,False
17,BoxLunch,"['books-cards-gifts', 'by-appointment', 'curbside-pickup', 'in-store-shopping', '']",(949) 753-1391,753,https://images.ctfassets.net/l16b5usqno44/umb-media-74947/9fb7e7c00d8690fa5f2f053da4a71eb2/store-logo-boxlunch.png?w=223&fm=png,shopping,stores,,False
18,Brandy Melville,"['accessories', 'women-s-apparel', 'in-store-shopping', '']",(949) 932-0433,843,https://images.ctfassets.net/l16b5usqno44/umb-media-74948/eba1b2ac7142678de159cb174f9cb741/store-logo-brandymelville.jpg?w=223&fm=png,shopping,stores,,False
19,Brighton Collectibles,"['accessories', 'eyewear', 'jewelry-timepieces', 'shoes-handbags-luggage', 'by-appointment', 'in-store-shopping', '']",(949) 754-0485,766,https://images.ctfassets.net/l16b5usqno44/umb-media-74950/302582aaf992a4abc8d14b4e7cad8124/store-logo-brighton.png?w=223&fm=png,shopping,stores,,False
20,BRIO Tuscan Grille,"['restaurants-full-service-dining', 'curbside-pickup', 'dine-in', 'outdoor-seating', 'takeout', 'italian', 'open-table', '']",(949) 341-0380,774,https://images.ctfassets.net/l16b5usqno44/umb-media-74952/545808c1be1eba6e2c17056906a1c5a4/store-logo-briotuscangrille.png?w=223&fm=png,dining,restaurants,,False
21,Bristol Farms Newfound Market,"['grocery-drug', 'specialty-food', 'now-open', '']",(949) 620-4010,700,https://images.ctfassets.net/l16b5usqno44/umb-media-78028/8acee18d96423b3862e9a20e14ffffd1/NewfoundMarket-Store-Logo.jpg?w=223&fm=png,shopping,stores,Now Open,False
22,Burnin Mouth,"['restaurants-casual-quick', 'now-open', 'american', 'korean', 'sandwiches', 'chicken', '']",,510,https://images.ctfassets.net/l16b5usqno44/umb-media-78589/b4d35c5d739cc2e2d1316d1fbe1b15cc/store-logo-burninmouth.png?w=223&fm=png,dining,restaurants,Now Open,False
23,California Pizza Kitchen,"['restaurants-full-service-dining', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'american', 'pizza', 'deals']",(949) 585-9531,521,https://images.ctfassets.net/l16b5usqno44/umb-media-79968/55940e78ec720e3b735e23d907b429e6/store-logo-californiapizzakitchen.png?w=223&fm=png,dining,restaurants,,True
24,Capital Dim Sum - Seafood - Bar,"['restaurants-full-service-dining', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'chinese', 'open-table', '']",(949) 788-9218,770,https://images.ctfassets.net/l16b5usqno44/umb-media-74962/1d3e2f633b6e3c903e5eb79a45847e88/store-logo-capitaldimsumseafoodbar.png?w=223&fm=png,dining,restaurants,,False
25,Capital One Café,"['bank-financial', 'services', 'now-open', '']",(949) 656-2449,757,https://images.ctfassets.net/l16b5usqno44/umb-media-76209/355d8030e502badf92110fd243b1393d/store-logo-capitalonecafe.jpg?w=223&fm=png,shopping,stores,Now Open,False
26,Champs Sports,"['accessories', 'children-s-apparel', 'men-s-apparel', 'sporting-goods-active-wear', 'women-s-apparel', 'in-store-shopping', '']",(949) 727-4363,658,https://images.ctfassets.net/l16b5usqno44/umb-media-74965/a393257838a5f742eeb30d5c7658c86e/store-logo-champs.jpg?w=223&fm=png,shopping,stores,,False
27,Cheesecake Factory,"['restaurants-full-service-dining', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'american', '']",(949) 788-9998,600,https://images.ctfassets.net/l16b5usqno44/umb-media-75102/5e66e2c33139df9aac91fd90665706c4/store-logo-thecheesecakefactory.jpg?w=223&fm=png,dining,restaurants,,False
28,Chilli Beans,"['accessories', 'eyewear', 'in-store-shopping', '']",(747) 257-3267,626,https://images.ctfassets.net/l16b5usqno44/umb-media-74968/c8fa0c66d846244403df94e39cf1305b/store-logo-chillibeans.png?w=223&fm=png,shopping,stores,,False
29,Chipotle Mexican Grill,"['restaurants-casual-quick', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'mexican', '']",(949) 753-0554,731,https://images.ctfassets.net/l16b5usqno44/umb-media-74969/fdb9b0870966f1dd614d9ff6e8e12bd4/store-logo-chipotle.jpg?w=223&fm=png,dining,restaurants,,False
30,Chocolate Bash,"['specialty-food', 'delivery', 'in-store-shopping', 'now-open', 'deals']",(855) 606-2274,756,https://images.ctfassets.net/l16b5usqno44/umb-media-79944/d1f6094900748934f875a36dcb2391e7/store-logo-chocolatebash.png?w=223&fm=png,shopping,stores,Now Open,True
31,Claire's Accessories,"['accessories', 'jewelry-timepieces', 'in-store-shopping', '']",(949) 453-0338,741,https://images.ctfassets.net/l16b5usqno44/umb-media-74971/3b56dbf733bafdf537d76ea62fe9e547/store-logo-claires.jpg?w=223&fm=png,shopping,stores,,False
32,Cold Stone Creamery,"['specialty-food', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'desserts', 'deals']",(949) 453-9738,627,https://images.ctfassets.net/l16b5usqno44/umb-media-74973/6df1731db7213f109fca440e27994717/store-logo-coldstonecreamery.png?w=223&fm=png,dining,restaurants,,True
33,Cotton On,"['men-s-apparel', 'swimwear', 'women-s-apparel', 'in-store-shopping', '']",(949) 453-0266,725,https://images.ctfassets.net/l16b5usqno44/umb-media-74975/5329ddbbd0a9bfe0f53c852070ccdd60/store-logo-cottonon.jpg?w=223&fm=png,shopping,stores,,False
34,Cotton On Kids,"['children-s-apparel', 'swimwear', 'in-store-shopping', '']",(949) 753-1864,826,https://images.ctfassets.net/l16b5usqno44/umb-media-74976/cfce0ed04b59162add17a450bc6a8eb5/store-logo-cottononkids.png?w=223&fm=png,shopping,stores,,False
35,Cotton:On Body,"['women-s-apparel', 'now-open', '']",(949) 753-6003,736,https://images.ctfassets.net/l16b5usqno44/umb-media-78676/dba1f3944431d6704e6ad2aa9f210cac/store-logo-cottononbody.png?w=223&fm=png,shopping,stores,Now Open,False
36,CUCINA enoteca,"['restaurants-full-service-dining', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'takes-reservations', 'italian', 'open-table', '']",(949) 861-2222,532,https://images.ctfassets.net/l16b5usqno44/umb-media-74978/f0a69c77979ece9788701b92ad38b2e6/store-logo-cucinaenoteca.png?w=223&fm=png,dining,restaurants,,False
37,Curry Up Now,"['restaurants-casual-quick', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'indian', '']",(949) 932-0153,922,https://images.ctfassets.net/l16b5usqno44/umb-media-74979/cd29602656a7dfed973e386abecf5265/store-logo-curryupnow.jpg?w=223&fm=png,dining,restaurants,,False
38,Cyclebar,"['health-fitness', 'by-appointment', 'in-store-shopping', '']",(949) 988-0584,825,https://images.ctfassets.net/l16b5usqno44/umb-media-74980/6fdf3e2a6f27416766d2f4cf8c0517f0/store-logo-cyclebar.png?w=223&fm=png,shopping,stores,,False
39,Dave & Buster's,"['entertainment', 'restaurants-full-service-dining', 'dine-in', 'outdoor-seating', 'takeout', 'american', '']",(949) 727-0555,661,https://images.ctfassets.net/l16b5usqno44/umb-media-74981/9ed93529c587f890006b555fb2585d3e/store-logo-daveandbusters.jpg?w=223&fm=png,dining,restaurants,,False
40,Del Frisco's Grille,"['restaurants-full-service-dining', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'american', 'steakhouses', 'open-table', '']",(949) 341-0376,772,https://images.ctfassets.net/l16b5usqno44/umb-media-74983/ed770eb514c3a4eb71be9892bd6fa7cd/store-logo-delfriscosgrille.png?w=223&fm=png,dining,restaurants,,False
41,Dr. Martens,"['shoes-handbags-luggage', 'in-store-shopping', '']",(949) 527-9485,652,https://images.ctfassets.net/l16b5usqno44/umb-media-74985/83c25ca4556debd5f21c75b220540eb0/store-logo-drmartens.png?w=223&fm=png,shopping,stores,,False
42,Drybar,"['beauty', 'in-store-shopping', '']",(877) 379-2279,837,https://images.ctfassets.net/l16b5usqno44/umb-media-74986/33e4ae403eabdb55afed75758f5e4712/store-logo-drybar.jpg?w=223&fm=png,shopping,stores,,False
43,Duff's Cakemix,"['activities', 'entertainment', 'specialty-food', 'by-appointment', 'curbside-pickup', 'delivery', 'in-store-shopping', '']",(949) 504-4445,827,https://images.ctfassets.net/l16b5usqno44/umb-media-74987/c1307db0bd1d08ca75a2d6a28c0dd99f/store-logo-duffscakemix.png?w=223&fm=png,shopping,stores,,False
44,Erin Condren,"['books-cards-gifts', 'by-appointment', 'curbside-pickup', 'in-store-shopping', 'deals']",(949) 236-4364,832,https://images.ctfassets.net/l16b5usqno44/umb-media-74990/b25604cc7377a894a2618b15cdd41c6b/store-logo-erincondren.png?w=223&fm=png,shopping,stores,,True
45,"Escape Game, The","['entertainment', 'by-appointment', 'in-store-shopping', '']",(949) 541-9165,655,https://images.ctfassets.net/l16b5usqno44/umb-media-75104/9526ae6edf6b86072b1c50e533e4b9db/store-logo-theescapegame.png?w=223&fm=png,shopping,stores,,False
46,Etty Collection,"['accessories', 'women-s-apparel', 'in-store-shopping', '']",(949) 536-5253,606,https://images.ctfassets.net/l16b5usqno44/umb-media-74991/54c39230daa70a7fb798c87f31bf1d68/store-logo-ettycollection.png?w=223&fm=png,shopping,stores,,False
47,Fabletics,"['accessories', 'men-s-apparel', 'shoes-handbags-luggage', 'sporting-goods-active-wear', 'women-s-apparel', 'in-store-shopping', '']",(949) 541-8884,750,https://images.ctfassets.net/l16b5usqno44/umb-media-75010/a611454f3304b0317d4090688868f120/storelogo-fabletics.png?w=223&fm=png,shopping,stores,,False
48,Facialworks,"['beauty', 'by-appointment', 'in-store-shopping', '']",(949) 932-0697,717,https://images.ctfassets.net/l16b5usqno44/umb-media-75009/3d6c886b9c227a2ebc813a55e42340aa/store-logo-facialworks.jpg?w=223&fm=png,shopping,stores,,False
49,Falasophy,"['restaurants-casual-quick', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'lebanese', '']",(949) 536-5008,920,https://images.ctfassets.net/l16b5usqno44/umb-media-75008/4fcb97a52768afec6e5d38c1b6ad083e/store-logo-falasophy.jpg?w=223&fm=png,dining,restaurants,,False
50,Flip Burger,"['restaurants-casual-quick', 'curbside-pickup', 'dine-in', 'outdoor-seating', 'takeout', 'burgers', '']",,705,https://images.ctfassets.net/l16b5usqno44/7qc4SWBrCycNBAJ6Mzkxmf/4eef065ae8988f1f287c5998b062be06/Store-Logo-FLIPBurger.png?w=223&fm=png,dining,restaurants,,False
51,Fogo de Chao,"['restaurants-full-service-dining', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'takes-reservations', 'brazilian', 'salads', 'steakhouses', 'open-table', '']",(949) 398-1500,623,https://images.ctfassets.net/l16b5usqno44/umb-media-75005/b85a1b9d291fd67ab3028cc3123dcdd5/store-logo-fogodechao.jpg?w=223&fm=png,dining,restaurants,,False
52,Food Hall at Bristol Farms Newfound Market,"['restaurants-casual-quick', 'now-open', 'outdoor-seating', 'takeout', 'vegetarian', 'american', 'seafood', 'sushi-bars', 'salads', 'coffee-tea', 'juice-smoothies', 'chicken', '']",(949) 620-4010,700B,https://images.ctfassets.net/l16b5usqno44/umb-media-78028/8acee18d96423b3862e9a20e14ffffd1/NewfoundMarket-Store-Logo.jpg?w=223&fm=png,dining,restaurants,Now Open,False
53,Foot Locker,"['shoes-handbags-luggage', 'sporting-goods-active-wear', 'in-store-shopping', '']",(949) 585-9862,644,https://images.ctfassets.net/l16b5usqno44/umb-media-75003/d0df28e1983ec4826da28aff3e878581/store-logo-footlocker.png?w=223&fm=png,shopping,stores,,False
54,Francesca's,"['accessories', 'books-cards-gifts', 'jewelry-timepieces', 'shoes-handbags-luggage', 'swimwear', 'women-s-apparel', 'in-store-shopping', '']",(949) 753-1049,752,https://images.ctfassets.net/l16b5usqno44/umb-media-75000/fb5245010a4d1197cf2bcab119b407e4/store-logo-francescas.jpg?w=223&fm=png,shopping,stores,,False
55,Free People,"['accessories', 'jewelry-timepieces', 'sporting-goods-active-wear', 'swimwear', 'women-s-apparel', 'by-appointment', 'curbside-pickup', 'in-store-shopping', '']",(949) 346-5051,893,https://images.ctfassets.net/l16b5usqno44/umb-media-74999/7135a10735956567f3a5485c44a09fc6/store-logo-freepeople.jpg?w=223&fm=png,shopping,stores,,False
56,Frost A Gelato Shoppe,"['specialty-food', 'dine-in', 'outdoor-seating', 'takeout', 'desserts', '']",(949) 932-0631,508,https://images.ctfassets.net/l16b5usqno44/umb-media-74998/a883117cf4570e3ceb923a800892c989/store-logo-frost.jpg?w=223&fm=png,dining,restaurants,,False
