date,description
1801 - 1809,Thomas Jefferson is third President of 16 United States.
"March 1, 1807",Wilford is born in Farmington Township (Avon) Connecticut to Beulah Thompson and Aphek Woodruff.
"June 7, 1807",Wilford is baptized in the Northington Connecticut (Congregational) Church by Reverend Rufus Hawley.
"June 11, 1808","Wilford's mother, Bulah Thompson Woodruff, dies at age 26 of spotted fever."
"March 4, 1809",James Madison is inaugurated as fourth President of 17 United States.
"November 9, 1810",Wilford's father Aphek marries Azubah Hart; only two of their six children live to adulthood.
"March 4, 1817",James Monroe inaugurated as fifth President of 17 United States.
Spring 1820,Joseph Smith's First Vision. Joseph Smith - History 1:14 - 20
"May 1, 1821",Wilford completes general education at age 14; lives with George Cowles for two years to learn miller's trade.
1821 - 1826,"Wilford works summers, continues schooling at Farmington Academy during the winters."
"September 21, 1823",Joseph Smith's second vision: instruction about the Book of Mormon and mission of Elijah. Joseph Smith - History 1:30 - 54
"March 4, 1825",John Quincy Adams is inaugurated as sixth President of 24 United States.
1827,Wilford begins managing mill for his Aunt Helen Wheeler.
"September 22, 1827",Joseph Smith receives records to begin translation of the Book of Mormon. Joseph Smith - History 1:59
"March 4, 1829",Andrew Jackson is inaugurated as seventh President of 24 United States.
May - June 1829,"Aaronic and Melchizedek priesthoods are restored. Joseph Smith - History 1:68 - 72; Doctrine and Covenants 27 - 8, 12"
June 1829,Joseph Smith finishes translating the Book of Mormon.
1830,"Church membership reaches 200; the population of the 24 United States is 12,866,000."
"March 26, 1830","First copies of the Book of Mormon are available in Palmyra, New York."
Spring 1830,Wilford is age 23 when Robert Mason prophesies of the restoration of the gospel and Wilford's place in it.
"April 6, 1830","Joseph Smith officially organizes the Church in Fayette Township, New York."
May 1830,"Wilford hired by Collins Axe Company to run their mill; works in Collinsville (South Canton), CT"
December 1830,Joseph Smith explains the need for all living and dead to receive ordinances.
1831,"Wilford works in Cowles mill in Farmington, Connecticut."
"May 5, 1831","Wilford is baptized by immersion by George Phippen, a Baptist minister; does not join Baptist Church.
                                                            



                                                                                    Page 1 from Letter to George Phippen, circa January 1831 [LE-11607]"
"February 16, 1832",Joseph Smith receives revelation regarding the three degrees of glory. Doctrine and Covenants 76
"March 8, 1832","First Presidency of the High Priesthood organized with Joseph Smith, Jesse Gause, and Sidney Rigdon."
Spring 1832,Wilford reads newspaper article about the Mormons; intrigued by similarities to New Testament church.
Spring 1832,"Wilford feels inspired to go to Rhode Island, but does not follow prompting.
                                                            



                                                                                    Page 1 from Autobiography 1858 Deseret News [A-4]"
May 1832,"Wilford and his brothers purchase a farm, sawmill, and orchard in Richland, Oswego County, NY."
December 1832,Joseph Smith commanded to build a temple in order to receive priesthood keys. Doctrine and Covenants 88:119 - 120
"June 5, 1833",Construction of the Kirtland Temple begins.
"July 23, 1833",Cornerstones laid for the Kirtland Temple.
"December 29, 1833",Wilford hears the restored gospel for the first time from Zerah Pulsipher and Elijah Cheney.
"December 31, 1833",Wilford is baptized and confirmed by Zerah Pulsipher; Wilford's brother Azmon also baptized.
January 1834,"Wilford begins preaching with Harry Brown (father of future wife Sarah) and James Blakesly.
                                                            



                                                                                    Page 14 from Journal (December 29, 1833 – January 3, 1838)"
"January 2, 1834","Richland Branch of Church organized; Azmon ordained a priest, Wilford ordained a teacher. by Zerah Pulsipher.
                                                            



                                                                                    Page 13 from Journal (December 29, 1833 – January 3, 1838)"
"April 1, 1834",Wilford is directed by Parley P. Pratt and Harry Brown to join Zion's Camp.
"April 11, 1834","Wilford leaves New York to join Saints in Kirtland, Ohio.
                                                            



                                                                                    Page 15 from Journal (December 29, 1833 – January 3, 1838)"
"April 25, 1834","Wilford arrives in Kirtland, Ohio, where he meets Joseph Smith and stays at his house for the week."
May - June 1834,Wilford travels with Zion's Camp to Missouri to help protect and defend persecuted Saints there.
July - December 1834,"Wilford works in Clay County, Missouri, making brick to build the home of Michael Arthur."
"November 5, 1834","Wilford ordained a priest by Simeon Carter at Adam-ondi-Ahman in Clay County, Missouri."
"November 13, 1834",Wilford licensed by Edward Partridge as a representative of the Church in order to serve a mission.
"December 31, 1834","Wilford consecrates himself and all his earthly possessions to the Church.
                                                            



                                                                                    Page 32 from Journal (December 29, 1833 – January 3, 1838)"
"January 13, 1835","Wilford leaves for his first mission in Arkansas, Kentucky, and Tennessee with Harry Brown."
"February 14, 1835","The first Quorum of the Twelve Apostles is organized in Kirtland, Ohio. Doctrine and Covenants 101:23 - 24"
"June 28, 1835","Wilford ordained an Elder by Warren Parrish at Eagle Creek, Tennessee.
                                                            



                                                                                    Page 55 from Journal (December 29, 1833 – January 3, 1838)"
"January 21, 1836",First washings and anointings administered; vision of celestial kingdom in Kirtland Temple. Doctrine and Covenants 137
"March 27, 1836",Kirtland Temple is dedicated. Doctrine and Covenants 109
"April 3, 1836","Jesus Christ appears in Kirtland Temple; Moses, Elias, Elijah confer priesthood keys. Doctrine and Covenants 110; 1:67"
"April 19, 1836","Wilford called to be a member of the Second Quorum of the Seventy at age 29.
                                                            



                                                                                    Page 80 from Journal (December 29, 1833 – January 3, 1838)"
"April 22, 1836",Wilford stays in Samuel Smith's home (father of future wife Emma Smith).
"May 31, 1836","Wilford ordained a Seventy in Second Quorum of Seventy by David Patten and Warren Parrish.
                                                            



                                                                                    Page 85 from Journal (December 29, 1833 – January 3, 1838)"
"October 25, 1836","Wilford leaves Kentucky to return to Ohio.
                                                            



                                                                                    Page 109 from Journal (December 29, 1833 – January 3, 1838)"
"November 7, 1836",Wilford votes in national elections for Martin Van Buren (President) and Richard Johnson (Vice President).
"November 25, 1836","Wilford returns to Kirtland from mission to Southern states and tours Kirtland Temple.
                                                            



                                                                                    Page 113 from Journal (December 29, 1833 – January 3, 1838)"
December 1836,Wilford studies Latin and Greek in the Kirtland School (held in the attic of the temple).
January 1837 - April 1837,Wilford attends School of the Prophets.
"January 3, 1837","Wilford called to be a member of the First Quorum of the Seventy.
                                                            



                                                                                    Page 123 from Journal (December 29, 1833 – January 3, 1838)"
"January 28, 1837","Wilford introduced to Phebe Whittemore Carter, a recent convert from Maine."
"March 23, 1837",Wilford spends his first day in the Kirtland Temple.
April - May 1837,Wilford attends Solemn Assembly and receives washings and anointings in Kirtland Temple.
April 1837 - May 1837,Wilford and Phebe live with Warren and Martha Parrish; Wilford works for Heber C. Kimball.
"April 13, 1837",Wilford and Phebe married by Frederick G. Williams in Joseph Smith's home in Kirtland.
"April 15, 1837","Wilford receives his patriarchal blessing from Joseph Smith Sr.
                                                            



                                                                                    Page 147 from Journal (December 29, 1833 – January 3, 1838)"
May 1837,"Woodruffs live with Jonathan and Olive Hale; Wilford records patriarchal blessings for Joseph Smith Sr.
                                                            



                                                                                    Page 152 from Journal (December 29, 1833 – January 3, 1838)"
"May 31, 1837","Phebe stays with Olive; Wilford leaves on mission to Canada/Maine with Jonathan Hale.
                                                            



                                                                                    Page 153 from Journal (December 29, 1833 – January 3, 1838)"
"June 12, 1837","Wilford visits childhood home in Farmington, Connecticut and stays with his family."
"July 12, 1837","Wilford baptizes his Uncle Ozem, Aunt Hannah, and cousin John Woodruff.
                                                            



                                                                                    Page 165 from Journal (December 29, 1833 – January 3, 1838)"
"August 8, 1837","Wilford meets Phebe's family for the first time while visiting Scarborough, Maine."
"August 19, 1837","Wilford arrives in the Fox Islands, Maine."
"December 29, 1837","Wilford stays with Charles Brown (father of future wife Sarah E. Brown).
                                                            



                                                                                    Page 183 from Journal (December 29, 1833 – January 3, 1838)"
"January 12, 1838","Joseph Smith moves Church to Far West, Missouri, to escape persecution in Ohio."
"April 19, 1838","Wilford stays with Charles Brown (father of future wife Sarah E. Brown).
                                                            



                                                                                    Page 28 from Journal (January 1, 1838 – December 31, 1839)"
"May 14, 1838",Wilford reads Parley P. Pratt's explanation of adoption by baptism into kingdom of God.
July 1838,Joseph Smith explains the need for all living and dead to receive ordinances.
"July 1, 1838","Wilford baptizes father Aphek, stepmother Azubah, half-sister Eunice in Farmington, CT."
"July 8, 1838","Wilford called to the Quorum of the Twelve Apostles. Doctrine and Covenants 118
                                                            



                                                                                    Page 1 from Letter from Thomas B. Marsh, 14 July 1838 [LE-128]"
"July 14, 1838","Wilford present for birth of his first child, Sarah Emma, in Scarborough, Maine.
                                                            



                                                                                    Page 51 from Journal (January 1, 1838 – December 31, 1839)"
"August 7, 1838",Wilford returns to his mission in the Fox Islands.
"August 9, 1838","Wilford receives news of calling as an Apostle; call to go on mission to England with apostles.
                                                            



                                                                                    Page 54 from Journal (January 1, 1838 – December 31, 1839)"
"October 4, 1838","Woodruffs begin trek from Maine to Missouri with group of converts to gather with the Saints.
                                                            



                                                                                    Page 66 from Journal (January 1, 1838 – December 31, 1839)"
"October 18, 1838","Wilford's half-brother Asahel dies in Indiana at the age of 24 (last living of 5 half-brothers).
                                                            



                                                                                    Page 111 from Journal (January 1, 1838 – December 31, 1839)"
"October 27, 1838",Governor Boggs issues order expelling Saints from Missouri under threat of extermination.
"October 30, 1838","Haun's Mill massacre in Caldwell County, Missouri, and surrender of Church leaders in Far West demanded."
"November 1, 1838",Joseph and Hyrum Smith and other Church leaders surrender; General Samuel Lucas orders their execution.
November 1838,"Court hearings to determine Church leaders' fate; Joseph, Hyrum and others are incarcerated in Liberty Jail."
December 1838 - April 1839,"Phebe deathly ill with brain fever; after her spirit leaves her body Wilford restores her to life.
                                                            



                                                                                    Page 74 from Journal (January 1, 1838 – December 31, 1839)"
"December 1, 1838 - April 1, 1839","While Church leaders remain in Liberty Jail, the Saints are forced from Missouri and relocate in Illinois."
"March 16, 1839","Wilford, Phebe, and Sarah Emma finally arrive in Quincy, Illinois."
"April 16, 1839","Church leaders escape Liberty Jail with help of guards; Saints move to Commerce, Illinois and establish Nauvoo."
"April 26, 1839","At age 32 Wilford is ordained an Apostle at the temple site in Far West, Missouri."
"May 4, 1839","Wilford records his call to serve his third mission.
                                                            



                                                                                    Page 87 from Journal (January 1, 1838 – December 31, 1839)"
"May 18, 1839","Woodruffs move to Montrose, IA, live in abandoned barracks with Brigham Young's family."
"June 11, 1839",Joseph Smith begins dictating history to scribe James Mulholland; used in Manuscript History of the Church.
November 1839 - December 1839,"Woodruffs winter in Rochester, IL with Brown family; Charles and Rebecca Brown die.
                                                            



                                                                                    Page 108 from Journal (January 1, 1838 – December 31, 1839)"
"August 8, 1839",Wilford leaves on two year mission to England with John Taylor.
November 1839,"Times and Seasons published in Nauvoo, Illinois through 1846."
"November 3, 1839","Church historian James Mulholland dies; completed Manuscript History of the Church up to September 30, 1830."
"November 29, 1839","Joseph Smith travels to Washington, D.C. to deliver Missouri redress petition to President Van Buren."
"December 11, 1839","Willard Richards starts writing Manuscript History of the Church November 1, 1831 - August 30, 1834."
"December 11, 1839","3,000 gather in unfinished temple for the first official meeting (the walls were only 4 feet high)."
1840,"Church membership is 16,800; population of the 26 United States is 17,100,000."
"January 11, 1840","Wilford arrives in Liverpool, England; helps convert 1,800 people; serves until May 1841.
                                                            



                                                                                    Page 49 from Journal (January 1, 1840 – December 31, 1840)"
"February 10, 1840",Wilford celebrates Queen Victoria's marriage to Prince Albert by preaching the gospel.
"March 5, 1840",Wilford arrives at John Benbow's home; over 600 people baptized in 35 days.
"March 22, 1840","Phebe's second child Wilford Jr. is born in Montrose, Iowa in Wilford's absence.
                                                            



                                                                                    Page 2 from Letter from Phebe Whittemore Carter Woodruff, 2 July 1840 [LE-260]"
May 1840,"The Latter-Day Saints' Millennial Star first published in Manchester, England by Parley P. Pratt."
"July 17, 1840","Phebe's first child Sarah Emma dies at age two in Montrose, Iowa.
                                                            



                                                                                    Page 1 from Letter from Phebe Whittemore Carter Woodruff, 18 July 1840 [LE-273]"
"August 14, 1840",Joseph Smith's first explanation of doctrine on baptism for the dead by living relatives.
"August 15, 1840",First baptisms for the dead performed in the Mississippi River.
September 1840,Joseph Smith announces the need to build a temple in Nauvoo.
1841 - 1842,"W. W. Phelps writes Manuscript History of the Church Vol. A - 1 for November 1830 to November 1, 1831."
"January 19, 1841",Revelation to Joseph Smith on building Nauvoo Temple; place for baptisms and endowment. Doctrine and Covenants 124:28 - 42
"March 4, 1841",William Henry Harrison inaugurated as ninth President of 26 United States.
"April 6, 1841",John Tyler inaugurated as tenth President of 26 United States after death of President Harrison.
"April 20, 1841",Wilford leaves England for America with other members of Quorum of the Twelve.
"May 20, 1841",Cornerstones are laid for the Nauvoo Temple.
"May 20, 1841","Wilford arrives in New York.
                                                            



                                                                                    Page 80 from Journal (January 1, 1841 – December 31, 1842)"
"June 2, 1841",Reunited with Phebe after 2 years; meets his 15-month-old son Wilford Jr.
July 1841 - August  1841,"Wilford spends time with family; officiates in marriage of sister Eunice to Dwight Webster on August 4.
                                                            



                                                                                    Page 92 from Journal (January 1, 1841 – December 31, 1842)"
"October 3, 1841",Church historian Robert B. Thompson dies; he completed Manuscript History of the Church September to November 1830.
"October 6, 1841","Joseph Smith directs Saints to stop proxy baptisms in Mississippi River, wait for completion of temple font."
"October 19, 1841","Wilford and Phebe arrive in Nauvoo, move into their own home for the first time in their married life."
"October 30, 1841","Wilford is appointed to Nauvoo City Council.
                                                            



                                                                                    Page 113 from Journal (January 1, 1841 – December 31, 1842)"
"November 21, 1841",Wooden font completed in the unfinished basement of Nauvoo Temple.
"December 21, 1841",Wilford witnesses first baptisms for the dead in the Nauvoo Temple.
"December 27, 1841",Wilford sees Urim and Thummim.
January 1842,Wilford helps haul stone for the Nauvoo House and Nauvoo Temple.
"February 3, 1842","Wilford appointed manager of the Church's official newspaper Times and Seasons.
                                                            



                                                                                    Page 132 from Journal (January 1, 1841 – December 31, 1842)"
"February 21, 1842",Wilford sets type for printing/publishing the Book of Abraham in Times and Seasons.
"March 4, 1842","Phebe's third child Phebe Amelia is born in Nauvoo, Illinois.
                                                            



                                                                                    Page 136 from Journal (January 1, 1841 – December 31, 1842)"
"March 27, 1842","Serial publication of Manuscript History of the Church in Times and Seasons as ""History of Joseph Smith.""
                                                            



                                                                                    Page 144 from Journal (January 1, 1841 – December 31, 1842)"
"April 21, 1842",Nauvoo Reformation included rebaptisms; Wilford rebaptized for the first time.
"May 3, 1842",Wilford baptized for mother Bulah; half-brothers Philo and Asahel; Phebe for grandparents.
"May 4, 1842",Joseph receives revelation regarding the meaning of endowment; prepares place to administer endowment.
"May 7, 1842",Joseph administers first endowment ordinances in room above the Red Brick Store in Nauvoo.
"May 15, 1842",Wilford baptized by proxy for great-grandparents Josiah and Sarah Woodford Woodruff.
"May 16, 1842 - May 17, 1842",Joseph Smith's letter states baptism for the dead is welding link between fathers and children. Doctrine and Covenants 128
"May 29, 1842",Wilford baptized by proxy for more great-grandparents.
"May 29, 1842",Wilford and Phebe baptized for six family members.
June 1842,Millennial Star begins serial publication of Manuscript History of the Church in England.
August 1842 - September 1842,"Wilford is confined to his bed with illness for 40 days.
                                                            



                                                                                    Page 166 from Journal (January 1, 1841 – December 31, 1842)"
"September 6, 1842",Joseph Smith's letter states baptism for the dead is welding link between fathers and children. Doctrine and Covenants 128
May 1843,Wilford assists in publication of the Nauvoo Neighbor (published until Saints leave Nauvoo in 1846).
July 1843 - November 1843,Wilford serves fourth mission in eastern states (with other apostles) to raise funds for temple.
"July 12, 1843",Revelation regarding new and everlasting covenant of marriage for eternity dictated. Doctrine and Covenants 132:15 - 20
"July 25, 1843","Phebe's fourth child Susan Cornelia born in Nauvoo, Illinois, in Wilford's absence."
"August 5, 1843",Wilford arrives in Philadelphia.
"October 1, 1843","Willard Richards starts Volume B - 1 of the Manuscript History of the Church commencing with September 1, 1834."
"November 4, 1843",Wilford returns to Nauvoo from mission to New England. (Age 36.)
"November 11, 1843",Wilford's marriage to Phebe sealed for eternity by Hyrum Smith.
"December 2, 1843","Wilford receives washings, anointings, and endowment."
"December 23, 1843","Phebe receives washings, anointings, and endowment."
1844,"Publication of ""The History of Joseph Smith"" in the Times and Seasons covering period up to January 7, 1832."
"January 28, 1844",Wilford and Phebe receive second anointings.
"March 2, 1844","Willard Richards completes Manuscript History of the Church Vol. B - 1 covering September 1, 1834 - August 5, 1838."
"March 26, 1844","Wilford attends meeting when Joseph Smith confers priesthood keys on Quorum of the Twelve.
                                                            



                                                                                    Page 228 from Journal (January 1, 1843 – December 31, 1844)"
"April 7, 1844","Wilford records Joseph Smith's discourse on important doctrines at funeral of King Follett.
                                                            



                                                                                    Page 237 from Journal (January 1, 1843 – December 31, 1844)"
May 1844 - August 1844,"Wilford serves fifth mission in the eastern states; holds conferences, campaigns for Joseph Smith."
"May 4, 1844",Wilford completes brick home in Nauvoo; over the next 2 years lives in it for less than 6 weeks.
"June 26, 1844",Wilford arrives in Boston to attend convention; nominate Joseph Smith for President of the United States.
"June 27, 1844",Joseph and Hyrum Smith murdered while in Carthage Jail.
"July 1, 1844",Wilford attends Jeffersonian Democracy Convention in Boston to nominate Joseph Smith.
"July 7, 1844",Work on the Nauvoo Temple resumes.
"July 9, 1844",Wilford learns of Joseph and Hyrum's death through newspaper article in Boston Times.
"August 6, 1844",Wilford returns to Nauvoo with other members of the Quorum of the Twelve.
"August 8, 1844",Meeting where majority of Saints sustain Quorum of Twelve as governing body of the Church.
"August 12, 1844",Wilford accepts call to preside over the European Mission for one year.
"August 26, 1844",Wilford and Phebe baptized in Mississippi River for deceased relatives.
"August 28, 1844",Wilford and Phebe and their children leave Nauvoo for England; Wilford's sixth mission.
"December 6, 1844",Woodruffs board ship to sail from New York City to Liverpool.
"December 11, 1844","Willard Richards, under the direction of Brigham Young, resumes work on Manuscript History of the Church."
"January 3, 1845",Woodruffs arrive in Liverpool.
"March 4, 1845",James K. Polk inaugurated as eleventh President of 27 United States.
"June 15, 1845","Willard Richards and Thomas Bullock resume work on Manuscript History of the Church begin at August 5, 1838."
"June 25, 1845",First stone laid for the new baptismal font in the Nauvoo Temple.
"July 18, 1845","Phebe's fifth child, Joseph, is born in Liverpool, England."
"October 5, 1845",Church Conference is held in the Nauvoo Temple; pulpits are complete and windows installed.
"December 10, 1845",First endowments for the living performed in the Nauvoo Temple.
1846,"Population of Nauvoo 14,000 - 15,000; population of Illinois 500,000 - 600,000."
"January 8, 1846",First priesthood adoptions performed in the Nauvoo Temple.
"January 11, 1846",First sealings of children to parents performed in the Nauvoo Temple.
"January 16, 1846",Phebe and 40 other Saints (incl. Wilford's future wife Mary Ann Jackson) leave England.
"January 20, 1846","Willard Richards and Thomas Bullock stop work on Manuscript History of the Church (until July 1, 1854)."
"January 22, 1846",Wilford leaves England for New York; experiences terrible Atlantic storm.
February 1846 - March 1846,Main exodus of Saints from Nauvoo. Brigham Young's family leaves February 15. Temperature -12 F on February 24.
"February 4, 1846",First Saints leave Nauvoo for Iowa.
"February 7, 1846","On final day of work in temple, 600 received ordinances; total of 5,615 received endowments in Nauvoo."
"February 15, 1846","Times and Seasons stops serial publication of the Manuscript History of the Church; final entry re: August 11, 1834."
"March 17, 1846",Wilford retrieves daughter from sister-in-law's where she lived during his mission to England.
"March 20, 1846","Wilford returns to Farmington, CT; parents and cousin Betsey Cossett accompany him to Nauvoo."
"April 13, 1846","Wilford arrives in Nauvoo with daughter, cousin, and parents; Phebe arrived a few days before."
"April 15, 1846",Woodruffs tour Nauvoo Temple with others.
"April 30, 1846",Private dedication of Nauvoo Temple.
"May 1, 1846 - May 3, 1846","Public dedication of Nauvoo Temple; Wilford attends with parents, Phebe, Mary Ann Jackson."
"May 13, 1846",United States Congress declares war on Mexico.
"May 22, 1846",Woodruffs leave Nauvoo to join Saints in Iowa.
"June 26, 1846",Wilford at Mt. Pisgah when Captain Allen arrives to recruit Mormon Battalion.
"July 9, 1846",Woodruffs reach Council Bluffs.
"July 16, 1846 - July 17, 1846",Mormon Battalion recruited by United States Army.
"July 25, 1846","Woodruffs cross Missouri River to Cutler's Park, Nebraska."
August 1846,"Wilford moves his family to Winter Quarters and begins building a cabin to house them for the winter.
                                                            



                                                                                    Page 268 from Journal (January 1, 1845 – December 31, 1846)
                                                                                



                                                                                    Page 269 from Journal (January 1, 1845 – December 31, 1846)"
"August 8, 1846","Wilford sealed to Mary Ann Jackson, Sarah Elinor Brown, Mary Caroline Barton."
"August 8, 1846","Wilford rebaptized 2nd time; rebaptizes Phebe, Sarah E. Brown, Mary C. Barton, Mary Ann Jackson, Rosetta King."
"August 29, 1846",Wilford expels Sarah E. Brown and Mary C. Barton from his family.
"October 15, 1846","Wilford severely injured by falling tree: breaks breastbone, three ribs, suffers internal injuries."
"November 12, 1846","Phebe's fifth child Joseph dies at age 16 months in Winter Quarters, Nebraska."
"December 8, 1846 - December 10, 1846","Phebe's sixth child Ezra born in Winter Quarters, Nebraska, and dies 2 days later."
"December 13, 1846","483 Saints at Winter Quarters: 334 sick, 53 wives of Mormon Battalion soldiers, 75 widows."
1847,"Church membership is 34,694."
"January 19, 1847","Wilford organizes ""adopted"" family (40 heads of households) under covenant to abide rules."
"April 14, 1847",Wilford leaves for the Salt Lake Valley with the first company of pioneers.
"May 25, 1847",James Jackson Woodruff born (only child of Mary Ann Jackson and Wilford).
"June 14, 1847",Mary Ann Jackson and her 19-day-old son James start journey to Salt Lake with Wilford's father Aphek.
