date,description
"July 22, 1847",Advance company arrives in Salt Lake Valley (still Mexican territory at the time); sets up camp.
"July 24, 1847",Wilford arrives in Salt Lake Valley with Brigham Young and plants potatoes.
"July 26, 1847",Wilford first to climb Ensign Peak.
"July 26, 1847",Location for Salt Lake Temple Block designated (originally 40 acres).
"July 31, 1847",First bowery built on Temple Block by Mormon Battalion.
"August 6, 1847","Wilford, Brigham Young, and other apostles are rebaptized (Wilford's third rebaptism)."
"August 26, 1847","After planting crops and building cabins, Wilford leaves Salt Lake to return to Winter Quarters."
"September 3, 1847 - September 5, 1847","Wilford's group meets companies heading west incl. father Aphek, wife Mary Ann, son James."
"October 28, 1847","Phebe's seventh child Shuah Carter born in Council Bluffs, Iowa, in Wilford's absence."
"October 31, 1847","Wilford arrives in Council Bluffs/Kanesville, Iowa."
December 1847,Log tabernacle built in Council Bluffs.
"December 5, 1847",First Presidency reorganized with Brigham Young as President of the Church.
"December 27, 1847",Brigham Young sustained as President of the Church by the Saints.
"February 2, 1848","Treaty signed ending Mexican-American War. Mexico cedes to United States: present day CA, NV, NM, WY, AZ, and CO"
"March 18, 1848",Wilford baptizes 8-year-old son Wilford Jr.
"May 11, 1848",Mary Ann Jackson divorces Wilford.
"June 21, 1848",Wilford leaves Iowa with family to preside over Church in Eastern United States and Canada.
"July 22, 1848","Phebe's seventh child Shuah Carter dies in LaMoille, Illinois at age 9 months."
"August 12, 1848","Woodruffs arrive in Boston, Massachusetts."
"March 5, 1849",Zachary Taylor inaugurated as twelfth President of 30 United States.
"March 8, 1849","Constitutional convention held to form the State of Deseret. (to encompass present day Utah, Nevada, Arizona, and parts of CA, WY, CO, NM, OR, and ID."
"March 22, 1849",Wilford baptizes father-in-law Ezra Carter.
April 1849,Second bowery built on Temple Block in Salt Lake City.
1850,"Church membership 61,000; population of Utah Territory 11,380; population of United States 23,192,000."
"April 9, 1850",Woodruffs leave Boston with a group of 209 converts to join the Saints in Utah.
"May 16, 1850","Woodruffs return to Council Bluffs, Iowa."
"June 15, 1850","Woodruffs leave for Salt Lake Valley from Kanesville, Iowa."
"July 10, 1850",Millard Fillmore inaugurated as 13th President of 30 United States.
"September 9, 1850","Under Compromise of 1850, Congress created the Utah Territory; Brigham Young appointed as Governor."
"October 14, 1850",Woodruffs arrive in Salt Lake Valley and live in cabins Wilford built in 1847.
"December 5, 1850",Wilford appointed to the Council (Legislature) of the State of Deseret (serves a total of 21 terms).
1851,Wilford moves his cabins from Old Fort to construct home on South Temple and West Temple.
1851 - 1854,Marriage sealings and endowments administered in the Utah Territorial Council House in Salt Lake City.
"January 6, 1851",Wilford begins serving as member of Utah Territorial Legislature.
"March 20, 1851","Wilford's stepmother Azubah Hart dies in Burlington, Vermont."
April 1851,Plans announced for construction of adobe Tabernacle on Temple Block.
"July 19, 1851",Phebe's eighth child Beulah Augusta born in Salt Lake City.
"August 2, 1851",Groundbreaking for adobe Tabernacle on Temple Square.
"November 15, 1851",Publication of the Manuscript History of the Church begins in the Deseret News.
1852,First Thursday of the month designated for fasting and prayer (later changed to first Sunday by Wilford).
January 1852 - March 1852,Wilford serves second term as member of Territorial Legislature.
"March 28, 1852",Wilford sealed to plural wife Mary Meek Giles Webster by Brigham Young in Woodruff's home.
"April 6, 1852",General Conference held in new adobe Tabernacle on Temple Block.
"April 7, 1852",Brigham Young sustained as Governor of the State of Deseret.
"July 7, 1852",Endowments resumed in Council House by Heber C. Kimball at the direction of Brigham Young.
"July 25, 1852",Wilford rebaptizes plural wife Mary Webster and baptizes 8-year-old daughter Susan.
"August 3, 1852",Workers began laying foundation stones for the wall around the Temple Block.
"August 8, 1852",Revelation on patriarchal marriage first made public by Brigham Young.
"October 3, 1852",Wilford's plural wife Mary Meek Giles Webster dies.
"December 21, 1852",Wilford appointed clerk and historian of the Quorum of the Twelve Apostles at age 45.
"January 2, 1853 - January 14, 1853",Wilford serves third term as member of Utah Territorial Legislature.
"January 25, 1853",Phebe's ninth child Aphek born in Salt Lake City and only lives two hours.
February 1853 - April 1853,Wilford assigned to supervise construction of temple foundation; started digging February 23.
"February 14, 1853",Wilford attends groundbreaking ceremony and dedication of Salt Lake Temple site.
"March 4, 1853",Franklin Pierce inaugurated as 14th President of 31 United States.
"March 13, 1853",Wilford sealed to Emma Smith and Sarah Brown in Council House; resealed to Phebe.
"April 6, 1853",Cornerstones of Salt Lake Temple were laid.
"June 15, 1853","Eunice, Wilford's only sister, dies in Burlington, Vermont."
"July 1, 1853",Thomas Bullock and Willard Richards resume work on the Manuscript History of the Church.
"December 1, 1853","Manuscript History of the Church completed to March 1, 1843: Vol. D - 1 is August 1, 1842 to July 1, 1843."
"December 13, 1853",Sealing to Mary Ann Jackson cancelled?
"January 4, 1854 - January 20, 1854",Wilford serves fourth term in Utah Territorial Legislature.
"April 4, 1854",Sarah Brown's first child David Patten Woodruff is born in Salt Lake City.
"April 7, 1854","George A. Smith appointed Church Historian; Manuscript History of the Church July 1, 1843 - April 30, 1844."
June 1854,"Third bowery built on Temple Square, north of adobe Tabernacle."
"December 11, 1854","Wilford serves in Territorial Legislature December 11 to January 19, 1855."
1855 - 1857,Church Reformation takes place in Utah.
"February 3, 1855",Wilford elected president of the Universal Scientific Society established in the Territory.
"May 5, 1855",Wilford attends dedication of Endowment House in Salt Lake City.
"May 5, 1855",First endowments for the living administered in the Endowment House.
"May 9, 1855 - May 27, 1855",Wilford tours southern Utah settlements with Brigham and apostles.
"September 13, 1855",Wilford helps establish the Deseret Horticultural Society.
December 1855 - January 1856,Wilford serves fifth term in Territorial Legislature.
1856 - 1861,Wilford serves on Board of Directors of Deseret Agriculture and Manufacturing Society.
"March 17, 1856","Second Constitutional Convention held and petition for State of Deseret delivered to Washington, D.C."
"March 17, 1856","Wilford rebaptizes family members over the age of 8 (3 wives, 3 children, and ""Lamanite"" boy Moroni)."
"April 7, 1856",Wilford appointed Assistant Church Historian (serves in Historian's Office from 1856 to 1883).
"April 28, 1856",Wilford poisoned while skinning livestock; life saved through priesthood blessings.
September 1856,"Church-wide reformation includes rebaptizing, restructuring and recommitment to principles and covenants."
"October 2, 1856",Wilford helps dedicate Endowment House baptismal font.
December 1856 - January 1857,"Wilford serves sixth term in Utah Territorial Legislature to January 16, 1857."
"December 30, 1856",First baptisms performed in font; Quorum of the Twelve rebaptized (4th rebaptism for Wilford).
"December 30, 1856",Members of Utah Territorial Legislature rebaptized (Wilford for the fifth time).
1857,"Church membership is 55,236."
January 1857,Wilford and George A. Smith complete Manuscript History of the Church up to Joseph Smith's death in 1844.
"January 18, 1857",Sarah's second child Brigham Young Woodruff is born in Salt Lake City.
"March 4, 1857",James Buchanan inaugurated as 15th President of 31 United States.
"July 13, 1857",President Buchanan removes Brigham Young as Governor; sends army to escort new Governor Cumming.
"July 24, 1857","Saints receive news that 2,500 U.S. Army troops are coming to Utah."
"July 31, 1857","Wilford sealed to plural wife Sarah Delight Stocking (""Delight"") by Brigham Young."
"September 7, 1857 - September 11, 1857",Attack on wagon train of emigrants and massacre at Mountain Meadows.
"September 29, 1857","John D. Lee gives false report of Mountain Meadows massacre to Wilford and Brigham Young.
                                                            



                                                                                    Page 251 from Journal (January 1, 1854 – December 31, 1859)"
"October 1, 1857","United States Army winters at Camp Scott, Wyoming, 100 miles from Salt Lake City."
"October 4, 1857",Emma's first child Hyrum Smith Woodruff is born in Salt Lake City.
"October 16, 1857",US Army Colonel Alexander's letter threatens Saints with extermination if they oppose Army.
"November 21, 1857",Alfred Cumming charges Brigham Young with treason; declares Utah citizens in rebellion against U.S.
"December 13, 1857",Wilford serves seventh term in Territorial Legislature.
"February 3, 1858","President Buchanan asks for four more regiments to help quell ""rebellion."""
April 1858,Third bowery on Temple Block in Salt Lake City dismantled before arrival of Johnston's Army.
April 1858,Governor Cumming enters Salt Lake City without army escort under terms negotiated by Thomas Kane.
"April 8, 1858","Wilford moves families to Provo; 30,000 Saints prepare to abandon/burn Salt Lake City ahead of army."
June 1858,U. S. Army enters abandoned Salt Lake Valley.
July 1858 - August 1858,Saints begin returning to their homes in Salt Lake City.
"November 24, 1858",Emma's first child Hyrum Smith Woodruff dies at age 13 months.
"December 13, 1858 - December 31, 1858",Wilford serves eighth term in Utah Legislature.
"January 30, 1859",Wilford performs marriage of daughter Susan to Robert Scholes (first child to marry).
"April 4, 1859",Wilford's daughter Phoebe Amelia is sealed to Lorenzo Snow as his eighth wife.
"May 30, 1859",Sarah's third child Phebe Arabell is born in Salt Lake City.
"October 16, 1859 - October 29, 1859",Wilford is dying; gives family final instructions on funeral and disposition of belongings.
1860,"Church membership 61,000; population of Utah Territory 40,273, population of 33 United States 31,443,000."
"May 21, 1860","First grandchild born, Robert and Susan's daughter; four generations living in his home."
"July 4, 1860",Emma's second child Emma Manella is born in Salt Lake City.
"December 20, 1860",Seven southern states secede from Union. (Confederacy included 15 states and territories by 1862.)
"March 4, 1861",Abraham Lincoln inaugurated as 16th President of 26 states.
"April 21, 1861",News arrives in Utah of firing on Fort Sumter and the beginning of the Civil War.
"May 28, 1861",Wilford's father Aphek Woodruff dies.
"June 1, 1861",Delight's first child Marion is born in Salt Lake City; Wilford learns of father's death.
December 1861,Governor John Dawson arrives on 7th departs on 31st; vetoes 3rd Constitutional Convention.
1862–1870,Legislature of the State of Deseret meets simultaneously with Utah Territorial Legislature.
"January 20, 1862",Sarah's fourth child Sylvia Melvina is born in Salt Lake City.
"June 9, 1862",Wilford helps draft constitution for State of Deseret; Brigham Young elected first governor.
"June 9, 1862",Congress rejects fourth petition for formation of State of Deseret; Brigham Young still serves as Governor.
"June 10, 1862",Salt Lake Temple foundation razed and top stones removed.
"July 6, 1862",Wilford moves plural wife Delight to Fort Herriman to be near her family.
"July 6, 1862",Morrill Anti-Bigamy Law signed by Abraham Lincoln.
"July 8, 1862",Wilford baptizes son David Patten Woodruff.
"July 22, 1862",Wilford serves as President of Deseret Agriculture and Manufacturing Society for 15 years (1862 - 1877).
"August 23, 1862","Wilford records Brigham Young's plans for a 15,000-seat tabernacle on Temple Square."
"January 1, 1863",Emancipation Proclamation issued by Abraham Lincoln.
"February 3, 1863",Emma's third child Asahel Hart is born in Salt Lake City.
"April 6, 1863",Plans announced for construction of Great Tabernacle on Temple Block.
"April 7, 1863",Wilford Jr. called to serve a mission in England.
"May 29, 1863",James Jackson Woodruff returns to live with Wilford.
"July 25, 1863",Delight's second child Emeline is born in Salt Lake City.
"November 3, 1863",Sarah's fifth child Newton is born in Salt Lake City.
"March 4, 1865",Abraham Lincoln's second inauguration.
"April 9, 1865",Civil War ends.
"April 14, 1865",Abraham Lincoln assassinated.
"April 15, 1865",Andrew Johnson inaugurated as 17th President of 36 United States.
"December 23, 1865",Delight's third child Ensign is born in Salt Lake City.
"December 26, 1866",Brigham Young reintroduces second anointings.
"February 12, 1867",Emma receives her second anointing.
"February 14, 1867",Delight receives her second anointing.
"April 10, 1867",Emma's fourth child Ann Thompson is born in Salt Lake City and dies the next day.
"April 11, 1867",Emma's child Ann Thompson dies.
"October 6, 1867",First meeting held in Great Tabernacle on Temple Block.
"October 26, 1867",Sarah's sixth child Mary is born in Salt Lake City.
"December 2, 1867",Wilford participates in reestablishment of the School of the Prophets.
"July 23, 1868",Emma's fifth child Clara Martisha is born in Salt Lake City.
"August 29, 1868","Delight's fourth child Jeremiah is born in Fort Herriman, Utah."
"March 4, 1869",Ulysses S. Grant inaugurated as 18th President of 37 United States.
"May 10, 1869","Transcontinental Railroad completed, effectively ending isolation of Utah."
"December 16, 1869",Delight's fourth child Jeremiah dies at age 15 months in Salt Lake City.
1870,"Church membership 90,130; population of Utah Territory 86,336; population of 38 United States 39,820,000."
February 1870,Utah women given the right to vote; Liberal (non-Mormon) Party formed opposing People's (Mormon) Party.
"November 21, 1870",Wilford comforts Emma through her miscarriage.
"December 5, 1870",Sarah's seventh child Charles Henry is born in Salt Lake City.
"January 31, 1871",Brigham Young proposes idea of building a temple in St. George.
"February 2, 1871",Sarah's seventh child Charles Henry dies at age two months in Salt Lake City.
"April 17, 1871",Delight's fifth child Rosannah is born in Salt Lake City.
"April 18, 1871","Wilford moves wife Sarah Brown and her children to Randolph, Utah along with Wilford Jr. and his family."
"October 6, 1871",Priesthood members vote in favor of building temple in St. George.
"November 9, 1871",Groundbreaking ceremony for St. George Temple.
"September 9, 1872 - September 27, 1872",Wilford travels to California to attend California State Fair.
"October 22, 1872",Delight's fifth child Rosannah dies at age 18 months in Salt Lake City.
"November 23, 1872",Emma's sixth child Abraham Owen is born in Salt Lake City.
"February 2, 1873","Sarah's eighth child Edward Randolph is born in Randolph, Utah."
"February 8, 1873",Sarah's eighth child Edward Randolph dies in Randolph.
"August 14, 1873",Delight's sixth child John Jay is born in Salt Lake City.
"June 23, 1874",Poland Act passed by Congress becomes legal basis for the prosecution of polygamists in the 1870s and 1880s.
"April 10, 1875","Seniority of apostles adjusted according to ordination date, placing John Taylor ahead of Wilford."
"July 17, 1875",Wilford rebaptized (for the sixth time) along with other members of the Quorum of the Twelve.
"August 11, 1875",St. George Temple baptismal font dedicated; used to rebaptize Saints entering the United Order in St. George.
"October 3, 1875",President Ulysses S. Grant visits Salt Lake City.
"October 9, 1875",Great Tabernacle on Temple Block dedicated by President John Taylor.
"January 3, 1876",Wilford moves Delight into her new house in Salt Lake City.
"April 9, 1876",Emma's seventh child Winnifred Blanche is born in Salt Lake City.
"November 1, 1876",Wilford moves to St. George to assist in readying temple for dedication.
"November 7, 1876",National elections.
"November 13, 1876","Wilford, L. John Nuttall and John D. T. McAllister begin writing down the temple ceremony."
1877,"Church membership reaches 115,065."
"January 1, 1877","Wilford, Brigham Young Jr., and Erastus Snow dedicate portions of St. George Temple."
"January 9, 1877",First baptism for the dead performed in St. George Temple font.
"January 11, 1877",First proxy endowments performed in this dispensation in St. George Temple.
"January 11, 1877",First proxy sealings and sealings and endowments for the living in St. George Temple.
"January 14, 1877",Brigham Young asked Wilford and others to write out the temple ceremonies.
"January 16, 1877",Wilford administers second anointing to the first couple in the St. George Temple.
"February 7, 1877",Wilford administers second anointing by proxy for the first time in the St. George Temple.
"February 23, 1877",Wilford receives revelation authorizing proxy ordinances for his family by non-relatives.
"March 1, 1877","In honor of Wilford's 70th birthday, 154 women serve as proxies in ordinances for his family."
"March 3, 1877",Rutherford B. Hayes inaugurated as 19th President of 38 United States.
"March 10, 1877",Wilford sealed to Eudora Lovina Young by her father Brigham Young.
"March 21, 1877",Wilford and others finished writing down the ceremonies and temple procedures.
"March 22, 1877",Wilford performed first adoptions (two couples to Brigham Young) in St. George Temple.
"March 27, 1877","Phebe, Wilford Jr., Beulah and Phoebe Amelia arrive in St. George to work in temple."
"March 30, 1877","First time Wilford ever acted as proxy in endowment: for ""Prophet"" Robert Mason."
"April 1, 1877","General Conference held in completed temple, dedication of entire temple."
"April 8, 1877","At the age of 70, Wilford called to preside over the St. George Temple (served until June 26, 1884)."
"April 11, 1877","First time anyone ever adopted to Wilford: Josiah G. Hardy, Samuel B. Hardy and their wives."
"April 14, 1877",Wilford's family leaves St. George to return to Salt Lake City.
"April 16, 1877",Wilford resigns as President of the Deseret Agricultural and Manufacturing Society after 15 years.
"April 25, 1877",Site for Manti Temple dedicated by Brigham Young.
"May 18, 1877",Site for Logan Temple dedicated by Brigham Young.
"June 16, 1877",Wilford's son Brigham drowns in Bear River at age 20.
July 1877,Church-wide priesthood reorganization included rebaptism.
"August 19, 1877 - August 21, 1877",Wilford's vision of Signers of Declaration of Independence; proxy baptisms for Eminent Men and Women.
"August 22, 1877 - August 24, 1877",Majority of endowments completed for Eminent Men and Women; some sealings also completed.
"August 29, 1877",Brigham Young dies.
"September 1, 1877",Wilford accompanies Lucy Bigelow Young to Salt Lake City for funeral.
"September 2, 1877",Funeral service for Brigham Young held in Tabernacle.
"September 2, 1877",Wilford dedicates Brigham Young's grave.
"September 4, 1877",Apostles meet and agree that John Taylor will be President of the Quorum of the Twelve.
"September 16, 1877",Wilford publicly shares his vision of the Signers of the Declaration of Independence.
"September 17, 1877",Wilford participates in the cornerstone laying ceremony for the Logan Temple.
"October 6, 1877",Solemn Assembly to sustain Quorum of Twelve as leading body; John Taylor as Quorum president.
"November 29, 1877",Endowments resume in Endowment House in Salt Lake City for those too ill or elderly to travel to St. George.
January 1878 - March 1878,Wilford spends two months working in St. George Temple.
"April 1, 1878",Wilford and Eudora's son Brigham Young Woodruff is born and dies nine hours later. He is buried in the St. George City Cemetery.
"June 28, 1878",Delight's seventh child Julia Delight Stocking is born in Salt Lake City.
November 1878,"Wilford is divorced from Eudora Young? (""sent bill"" on November 25; ""signed bill"" on November 28)."
"December 2, 1878",Wilford asks Mary Ann Jackson to be resealed to him. (Note written in shorthand in journal margin.)
"January 1, 1879",Wilford and Phebe move from Valley House into house next door; lease Valley House to be used as a hotel.
"January 2, 1879","Emma's eighth child, Wilford's 34th and last child, Mary Alice is born in Salt Lake City."
"January 6, 1879",Supreme Court denies George Reynolds' challenge to Morrill Law; plural marriage a criminal offense.
"February 7, 1879",Wilford goes into hiding to avoid arrest for polygamy.
March 1879 - April 1880,"Wilford spends a year in Arizona ""on the underground"" serving a mission among the Native Americans."
1880,"Church membership 135,000; Utah Territory 143,963; population of 38 United States 50,190,000."
"January 26, 1880",Wilford receives Wilderness Revelation re: God's defense of the patriarchal law of marriage.
"April 2, 1880",Wilford returns to Salt Lake City from exile in Arizona.
"October 10, 1880",First Presidency reorganized with John Taylor President; Wilford as President of Quorum of Twelve.
"October 10, 1880",Pearl of Great Price officially accepted as scripture by the membership of the Church.
"January 16, 1881",Wilford appointed General President of Young Men's Mutual Improvement Association.
February 1881 - March 1881,Wilford works for a month in the St. George Temple.
"March 4, 1881",James A. Garfield inaugurated as 20th President of 38 United States.
"March 5, 1881",Apostles wash feet against enemies as directed in Wilderness Revelation.
May 1881 - April 1889,Wilford serves eight years as Church Historian (until becoming President of the Church).
"September 20, 1881",Chester A. Arthur inaugurated as 21st President of 38 United States after assassination of James A. Garfield.
November 1881 - December 1881,Wilford works in St. George Temple.
"January 8, 1882",Assembly Hall on Temple Block dedicated by Joseph F. Smith.
"March 14, 1882","Edmunds Act passed: plural marriage a felony, cohabitation a misdemeanor."
"March 24, 1882","First Presidency counsels men to live with ""only one wife under the same roof."""
April 1882,"Sixth Constitutional Convention for Utah held; Congress rejects petition for statehood on February 23, 1883."
"October 5, 1883",Wilford sustained in General Conference as Church Historian and recorder.
"October 12, 1883","John Taylor reinstitutes the School of the Prophets with ""washing of the feet."""
December 1883 - January 1884,Wilford works in St. George Temple.
"May 17, 1884",Wilford helps dedicate Logan Temple.
"May 29, 1884 - June 19, 1884",Wilford tours Idaho settlements with wife Sarah and Heber J. Grant.
January 1885 - October 1887,"Wilford goes into hiding again to avoid arrest; lives in St. George area from January 20 to November 5, 1885."
"March 4, 1885",Grover Cleveland inaugurated as 22nd President of 38 United States.
"November 5, 1885",Wilford called back to Salt Lake City for a meeting of Quorum of the Twelve.
"November 9, 1885",Wilford sees his wife Phebe for the last time and gives her a blessing.
"November 10, 1885",Phebe Woodruff dies; Wilford watches funeral from Church office to avoid arrest.
"January 13, 1887","Congress passes the Edmunds-Tucker Act; Act becomes law on March 3, 1887."
"April 24, 1887",John D. T. McAllister becomes St. George Temple President.
June 1887 - July 1887,Seventh Constitutional Convention for Utah held; Congress rejects petition for statehood.
"July 25, 1887",John Taylor dies at the age of 80.
"July 25, 1887","Wilford, as President of Quorum of the Twelve, becomes the leader of the Church."
"July 29, 1887",Wilford watches John Taylor's funeral procession from Church office to avoid arrest.
"July 30, 1887",Frank H. Dyer appointed receiver for the government; Church property confiscated.
"October 9, 1887",Wilford meets with Saints in Salt Lake Tabernacle for first time in three years.
March 1888,Wilford's reorganization of First Presidency fails due to discord re: George Q. Cannon.
"May 17, 1888",Wilford dedicates the Manti Temple in private services.
"May 21, 1888",Lorenzo Snow dedicates Manti Temple in public ceremony after Wilford returns to Salt Lake City.
"May 27, 1888",When Erastus Snow dies Wilford is only living Apostle who served in the days of Joseph Smith.
"June 14, 1888",Wilford directs all 32 stakes to establish Stake Academies to educate youth of the Church.
"July 9, 1888",Church's attorneys obtain commitment from U.S. Solicitor that temples would not be confiscated.
"November 7, 1888",Benjamin Harrison is elected president.
"December 20, 1888",Apostles refuse to sign document rejecting polygamy.
"March 4, 1889",Benjamin Harrison inaugurated as 23rd President of 38 United States.
"April 5, 1889","First Presidency reorganized: Wilford as President, George Q. Cannon and Joseph F. Smith as counselors."
"April 7, 1889",Solemn Assembly held in Tabernacle to sustain new First Presidency.
"October 21, 1889 - November 16, 1889","Wilford travels with wife Emma and Church leaders to Idaho, Oregon, Washington, and Canada."
November 1889,Salt Lake Endowment House closed and demolished.
"November 24, 1889",Wilford receives revelation on politics and polygamy; will not trade religion for statehood.
"November 30, 1889",Judge Anderson denies immigrating Church members United States' citizenship.
"December 23, 1889",Church-wide fast day on Joseph Smith's birthday asking for deliverance from persecution.
1890,"Church membership 188,000; Utah Territory 210,779; population of 44 United States. 62,948,000."
"May 19, 1890",U.S. Supreme Court sustains Edmunds-Tucker Act and Congress's right to escheat Church property.
June 1890,Secretary of State James G. Blaine drafts document renouncing polygamy which Church leaders refuse to sign.
August 1890,Frank H. Dyer is removed as receiver and replaced by Henry W. Lawrence.
"August 3, 1890","Wilford visits Saints throughout Utah, Wyoming, Colorado, New Mexico and Arizona."
"September 24, 1890",Wilford meets with three apostles regarding decision on polygamy.
"September 25, 1890",Wilford issues Manifesto on polygamy as a press release.
"October 6, 1890",Majority of members of the Church attending General Conference sustain the Manifesto.
"May 9, 1891",Wilford meets President Benjamin Harrison when he visits Salt Lake City.
"May 29, 1891",People's Party is disbanded; Saints advised to join Democrat/Republican parties.
"October 19, 1891",Wilford testifies in court regarding practice of polygamy.
"October 25, 1891",Wilford's testimony to Saints and defense of Manifesto.
"November 6, 1891","Wilford decides temple recommends will be signed by Bishops and Stake leaders only, not by Church president."
"October 13, 1892",President Harrison asks for the prayers of the First Presidency on behalf of his very ill wife.
"January 5, 1893",Limited amnesty granted to former polygamists by President Harrison.
"March 4, 1893",Grover Cleveland inaugurated as the 24th President of 44 United States.
"April 6, 1893",Wilford dedicates the Salt Lake Temple at age 86.
"August 29, 1893",Wilford attends World's Fair in Chicago.
"October 17, 1893",Wilford meets with temple presidents to harmonize the endowment ceremony in all four operating temples.
"January 12, 1894",Money taken by government under Edmunds-Tucker Act returned to the Church.
"March 19, 1894",Wilford has dream about Benjamin Franklin.
"April 6, 1894",Wilford receives revelation regarding sealing practices and the Law of Adoption.
"April 8, 1894",Wilford announces end to practice of adoption.
"April 18, 1894",Wilford present at first endowment ceremony in Salt Lake Temple.
"July 17, 1894",President Cleveland signed the Utah Enabling Act which gave Utah admission into the Union.
"October 25, 1894",Wilford inaugurates weekday religious education classes (precursor to seminary and institute programs).
"November 13, 1894",Wilford establishes the Genealogical Society of Utah.
March 1895 - May 1895,Eighth Constitutional Convention held; new Utah Constitution banning polygamy ratified November 5th.
June 1895 - July 1895,"Wilford travels to Oregon, Washington, and Alaska for recuperating vacation."
"January 4, 1896",Utah admitted to the Union as the 45th state by President Grover Cleveland.
"April 6, 1896",Wilford and Quorum of the Twelve issue Political Manifesto.
"August 13, 1896",Wilford travels to Oregon and California for recuperating vacation with L. John Nuttall.
"November 5, 1896",Wilford changes fast day from the first Thursday to the first Sunday of each month.
"March 1, 1897",Wilford attends the celebration of his 90th birthday in the Tabernacle.
"March 4, 1897",William McKinley inaugurated as 25th President of 45 United States.
"March 12, 1897",Wilford records his testimony (only known recording of his voice).
April 1897,Publication of Conference Report begins (replaced by Ensign Conference issue starting in 1965).
"July 20, 1897 - July 24, 1897",Wilford joins 50th anniversary celebration of first pioneer company arriving in Salt Lake.
"September 9, 1897 - September 25, 1897",Wilford travels to Oregon and California for recuperating vacation.
"April 10, 1898",Wilford's Conference address on his 1877 vision of the Signers of the Declaration of Independence.
"July 24, 1898",Wilford dedicates Pioneer Park (site of fort he helped build in 1847); last public appearance.
"August 13, 1898",Wilford leaves Utah for vacation in California to recuperate.
"September 2, 1898",Wilford dies from complications of a medical procedure in San Francisco at age 91.
1900,"Church membership 283,000; population of State of Utah 276,749; population of 45 United States 76,212,000."
